1178: 372,345,1163
990: 2,761,550
991: 500,404,1113,1062,1140
992: 193
993: 444,315,369,57
994: 69
995: 315,10,26,585
996: 842,123
1148: 639,303,337,1088
998: 950
999: 120,1093
1000: 207,1161,1103,635,579,1179
1001: 567,974,58,28
